Movie,Year,Certificate,Genre,Overview,Runtime,Rating,ratings_count
Malliswari,2004,U,"Comedy, Romance","When her father dies, a wealthy heiress is sent to another city to protect her from people who try to harm and manipulate her. Living under an assumed identity, she meets a handsome banker and falls in love with him.",150,7.8,2747
Ye Maaya Chesave,2010,UA,Romance,"Karthik finishes engineering school and aspires to become a filmmaker. His friend Krishna takes him to director Puri Jagannath and pleads with him to take him as his assistant. Meanwhile, ...                See full summary »",155,7.7,2697
Sagara Sangamam,1983,U,"Musical, Romance, Drama","A classical dancer, Balakrishna, (Kamal Haasan) faces many struggles, but is eventually redeemed.",160,8.8,2639
Rudhramadevi,2015,UA,"Action, Biography, History",Queen Rudrama Devi's reign in southern India during the 13th century is herein recounted.,157,5.8,2607
Majili,2019,UA,"Drama, Romance",A former cricket player nursing his wounds of a failed relationship takes up the task of training his ex-lover's daughter and in the process discovers his feelings towards his wife and her unrequited love for him.,154,7.2,2579
Uttama Villain,2015,U,"Comedy, Drama","Manoranjan, a superstar, is counting his last days due to brain tumor. How he goes about his final wish of doing a comedy film with his mentor Margadarsi forms the crux of the story.",171,7.2,2566
Arundhati,2009,A,"Horror, Mystery, Thriller","A brave queen battles an evil mystic. Three generations later, he comes back to haunt the queen's descendants.",131,7.3,2564
Agnyaathavaasi,2018,UA,"Action, Drama","An exiled heir to billionaire, returns after his father was murdered, as a regular employee to find out the killers and make things right in his company.",158,4.5,2526
Pilla Zamindar,2011,U,"Comedy, Drama",PJ has to go through a rough journey of living like a common man and graduating from a village-based college to inherit his grandfather's wealth.,148,7.7,2494
100% Love,2011,U,"Comedy, Drama, Romance","When his cousin Mahalakshmi comes to stay, Balu is challenged to an extent rare in his charmed life. Will Balu let himself be seduced by Mahalakshmi's bubbly spirit and sharp brain, or will his ego prove an insurmountable barrier?",141,7.0,2493
Aha Naa Pellanta,1987,U,Comedy,Krishnamurthy (Rajendra Prasad) is the only son of industrialist Satyanarayana (Nutan Prasad). He wants his son to get married to a girl whom he has chosen because of his bitter experience ...                See full summary »,147,8.9,2438
Vinaya Vidheya Rama,2019,UA,Action,"When the happiness of his family is held to ransom by a violent crime lord, Ram sets out on a quest to destroy his nemesis and his criminal empire.",146,3.3,2435
Happy,2006,U,"Action, Comedy, Drama",An orphan working as a Pizza delivery boy and the daughter of a caste-based politician are forced to get married in an unforeseen situation.,152,7.0,2424
Iddarammayilatho,2013,UA,"Action, Thriller","A young woman becomes embroiled in a financial and political conspiracy while studying in Spain, as she meets a young musician with a somewhat dark past unfolded through the pages of his lover's diary.",137,5.7,2376
Taxiwaala,2018,Not Rated,"Comedy, Horror, Thriller","A job monger, Shiva ends up as a taxiwala only to realise that his ride is a beyond what anyone could have expected.",137,7.0,2368
Parugu,2008,U,"Action, Romance",A group of friends are tasked with finding the daughter of a village head who believes them to have helped her elope.,159,7.0,2355
Rakhta Charitra 2,2010,A,"Action, Biography, Crime","After avenging the death of his father and brother, a man must now content with another vengeful male.",135,6.4,2338
Maryada Ramanna,2010,U,"Action, Comedy, Drama","A man returns to his parents' village to claim his land. Along the way, he befriends a charming young woman. Unbeknownst to him, her family has a long-standing feud with his family.",125,7.4,2337
Rachcha,2012,UA,Action,A betting teenager involves in a larger bet than he imagined.,143,4.3,2336
