Movie,Year,Certificate,Genre,Overview,Runtime,Rating,ratings_count
Pathala Bhairavi,1951,U,"Action, Adventure, Family","A poor man, in love with a princess, is persuaded by an evil sorcerer to help him get the blessing of a Goddess.",192,8.5,592
Goutham Nanda,2017,UA,"Action, Drama",The son of a billionaire decides to take an extreme step by leaving behind his riches and swapping his life with a depressed techie look-alike who wants to be a billionaire.,155,6.4,591
Mahanubhavudu,2017,UA,"Comedy, Drama, Romance",A kind-hearted person must face his OCD condition in order to win his love back.,151,6.4,587
118,2019,UA,"Action, Thriller",A recurring nightmare involving the murder of a young woman prompts an investigative journalist on a quest to find out whether there is any truth to the dream.,120,6.6,586
Heart Attack,2014,A,"Action, Romance",A commitment phobic hippie falls in love with a woman and chases her much to get dismay and aims to get what he needs.,142,5.3,586
Dictator,2016,UA,"Action, Drama","Chandu lives a normal life with his in laws in Hyderabad. One fine day, he comes across an aspiring actress Sonala helps her in a critical situation. The problems gets big and Chandu lands himself in a huge mess.",155,4.2,585
Idiot,2002,U,"Action, Comedy, Romance","Chanti who gets beaten up black and blue is rescued by a girl who takes care of him in the hospital, till he gets fine. He falls for this unknown girl. Will he ever find her and convey his feelings?",139,7.1,585
Neninthe,2008,UA,"Action, Drama",A wanna be director's struggle in the film industry. The problems he faces and how he overcomes them.,126,6.8,583
Rarandoi Veduka Chudham,2017,UA,"Action, Romance","While attending a wedding, a gregarious young man falls in love with a stubborn woman.",145,5.6,581
Aswathama,2020,UA,"Action, Thriller",A man works to uncover the details behind a series of crimes targeting women.,133,6.4,579
Jaanu,2020,UA,"Drama, Romance","Decades post-high school, Ram and Jaanu meet at their school's reunion and explore their past thoughts consisting of affection, care, depth and grieve all over the period of one evening.",151,7.0,574
Power Unlimited 2,2018,UA,Action,A peaceful man completely devoted to his family finds his violent past resurfacing.,147,4.8,570
Guru,2017,U,"Action, Drama, Sport",A curmudgeonly boxing coach sees the potential in a young woman; his belief in her changes her life.,116,7.9,568
Kee,2019,UA,"Action, Thriller","A man falls in love with a girl and tries to impress her. However, their life takes a serious turn when they fall victim to cyber-bullying.",138,5.1,567
Jagadam,2007,A,Action,A young man is drawn to violence but finds out that it's easier to get into violent situations than out of them.,163,6.8,566
Daruvu,2012,UA,"Action, Comedy, Fantasy",In Yamalokam retirement age comes from Senior Yama and he gives charge to his Son. However experienced Chitragupta is retained much to his disappointment. He decides to teach a lesson to ...                See full summary »,159,5.0,565
Damarukam,2012,UA,"Action, Drama, Fantasy",A demon born from darkness plans to take over the world by marrying a girl with ominous horoscope.,157,5.3,565
Super,2005,UA,"Action, Comedy","Sonu, his sister, Sasha, and their friend, Akhil, live a poor lifestyle in India. While Sasha has given her heart to Akhil, he treats her as a close friend and confidant. Times get so tough...                See full summary »",151,5.1,564
Size Zero,2015,U,"Comedy, Romance","Sweety, an obese woman, is shocked when her friend falls sick after joining a slimming centre. So she begins a campaign to highlight the importance of being fit rather than slim.",125,5.4,556
Bhadra,2005,A,Action,"Bhadra sees Raja's sister Anu on a video & falls in love with her. Badra visits Raja's home & he realises that, Raja's family is highly involved in feud actions. In a rival gang fight ...                See full summary »",153,6.7,555
Lakshmi's NTR,2019,U,Drama,"The life of iconic politician Nandamuri Taraka Ramarao (NTR) after meeting Lakshmi Parvathi, his second wife.",152,6.9,537
Akhil,2015,UA,"Action, Fantasy",A cruel businessman attacks a tribal village for a stone which the people treat as something special. A guy who thinks he is somehow related to the stone comes to their aid.,130,3.7,530
Daana Veera Soora Karna,1977,U,"Action, Drama, Fantasy","Abandoned at birth, brave and loyal Karna grows up to acquire skills as a warrior to battle the Pandavas.",233,8.8,530
Aadhi Bhagavan,2013,A,Action,An action film about two criminals in which one wants the other to get killed.,157,5.3,525
Falaknuma Das,2019,A,"Action, Thriller","Set in the backdrop of the colonies of falaknuma where a group of youngsters fall into unexpected consequences which lead them to a driving pathway of violence, brutality and ruthlessness.",145,6.3,523
Nela Ticket,2018,UA,"Action, Drama",A carefree young man is forced to grow up fast after he incurs the wrath of a corrupt politician.,120,4.5,515
Prati Roju Pandaage,2019,U,"Drama, Family","With only a few weeks left to live, an aging grandfather is visited by his grandson who wishes to fulfill his desires.",146,6.2,515
Veera,1994,U,"Comedy, Romance","A talented musician from a village migrates to a city, becomes popular and marries the daughter of a music company owner. But then his first wife, whom he presumed dead, turns up and his life becomes complicated.",240,6.6,515
Santosham,2002,U,"Drama, Romance","After losing the man she loves to her cousin, a woman gets her hopes up when he is widowed.",150,7.1,513
Jai Simha,2018,UA,"Action, Drama",A rowdy mechanic with a golden-heart turns into a body guard to save a family from goons.,159,4.7,510
Nuvve Kavali,2000,U,Romance,Best friends develop feelings for each other but cannot seem to sync their emotions.,153,7.5,508
Samba,2004,UA,Action,Violence breaks out in rural India when a good-hearted leader is killed and his son seeks revenge.,162,4.9,507
George Reddy,2019,U,Action,"George Reddy is a biopic based on the life of a student leader, boxer and Gold medalist, who influenced the politics of Andhra Pradesh state in Osmania University between 1967 and 1972. He ...                See full summary »",153,7.2,500
Bhoot Returns,2012,A,"Horror, Mystery, Thriller","A family moves into a possessed bungalow. A sudden turn of events in the house leaves them astonished. When things worsen, escape seems to be their last resort.",85,2.5,499
Suswagatham,1997,U,"Drama, Romance","Ganesh loves Sandhya obsessively , but she is not interested in him. His relentless pursuit leads to a lot of problems. However, everything changes the day he loses his father in an accident.",151,7.1,499
Andala Rakshasi,2012,UA,Romance,"Goutham deeply loves Mithuna, but will not acknowledge it to her. Meanwhile, Mithuna falls in love with Surya. Later, a sudden incident changes the lives of the trio.",139,7.2,494
Sambo Siva Sambho,2010,UA,"Action, Drama","A man marries the daughter of his father's archenemy. The marriage lasts one week, and then things get even more complicated.",160,6.8,491
Okkadunnadu,2007,A,"Action, Thriller",An ailing gangster with a rare blood group targets a man with the similar blood group to get his heart for a vital transplant.,119,7.3,490
Manmadhudu 2,2019,UA,"Comedy, Drama, Romance","Under pressure to marry, a perennial bachelor hires a much younger woman to act as his fiancée, but her bond with his family throws his plan for a loop.",155,4.8,489
Paisa Vasool,2017,UA,"Action, Comedy",A local officer recruits a deadly gangster to take down a crime lord.,138,4.4,486
Chantabbai,1986,U,"Comedy, Mystery",A comedy about the famous (Self-proclaimed) detective - James Pond - as he tries to find the lost son of a famous industrialist,134,8.1,484
Anji,2004,U,"Action, Adventure, Drama","Orphaned Arjun lives a poor lifestyle in an ashram along with his mentor, known simply as Guruji, and several other younger orphans in a forest region, Shivgiri which is accessible via ...                See full summary »",148,5.8,484
Dhada,2011,UA,"Action, Comedy",An Indian engineering student in the U.S. gets in trouble with local gangsters and must resolve his problems to return to his lady-love in India.,147,3.7,483
Jai Chiranjeeva,2005,U,"Action, Comedy, Drama","Sathyanarayana Murthy, a farmer from Amalapuram, swears vengeance on criminals who killed his niece.",174,5.8,482
Magalir Mattum,1994,Unrated,"Comedy, Drama, Thriller","Three female employees are fed up with their lecherous boss, and they come up with a plan to get even. Unfortunately, he ends up in the hospital and they are stuck with the dead body of a terrorist.",132,7.3,482
Anaganaga O Dheerudu,2011,PG-13,"Action, Adventure, Family","In a teardrop-shaped land called Sangarashtra, a 9-year-old girl with special healing powers tries to save her homeland from the tyranny of an evil queen with the help of a blind swordsman.",133,5.1,478
Supreme Khiladi,2016,UA,"Action, Comedy","Balu (Sai Dharma Tej ), a cab driver, gets involved in a fight against the mafia when he comes across a child that the mob wants dead.",142,6.1,476
Aakali Rajyam,1981,A,Drama,A young revolutionary rejects the future his parents chose for him and travels to Delhi to forge his own life and according to his own ideals. His quest to find a job that does not entail ...                See full summary »,138,8.1,476
Okka Magadu,2008,A,"Action, Comedy, Drama","Veera Venkata Satyanarayana Swamy(Balakrishna) is a good samaritan. He helps his fellow villagers in their need. When the police blame him for a few murders, a vigilante named Okka Magadu(...                See full summary »",150,2.1,474
Phoonk 2,2010,A,"Drama, Horror, Mystery","While on vacation, children and their father are terrorized by their mother and wife respectively.",110,3.1,472
Bhairava Dweepam,1994,U,"Action, Adventure, Comedy",A royal prince is raised by adoptive parents and experiences romance and adventure on his way to his destiny.,162,7.8,466
Needi Naadi Oke Katha,2018,U,Drama,"A middle-class youth raises his voice against the traditional, standardized system of education that does not take into account each student's skill and nor make them think.",121,7.8,462
Yogi,2007,UA,"Action, Drama",A mother from a small village searches for her son in Hyderabad; unaware that he has changed his name and is now both a target and a threat for all the gangsters of the city.,155,4.5,458
Yaman,2017,U,"Action, Drama, Thriller","After losing his father to a bunch of scheming politicians, a young man decides to wade into the corrupt and unscrupulous world of politics to avenge his death.",152,6.2,456
Anando Brahma,2017,U,"Comedy, Horror","An NRI wants to sell his ancestral home, but later hears rumours of it being haunted. Unwilling to sell the property at a throwaway price, he asks a team of four guys to spend a night in the house and prove that it isn't a ghost den.",123,6.7,454
Raja Vaaru Rani Gaaru,2019,UA,Romance,"Raja Vaaru Rani Gaaru is the story of Raju who falls in love with Rani but is unable to express his emotions. Set in a beautiful village, watch as Raju and two of his friends deal with the toils and troubles of romance.",133,7.6,443
Gangotri,2003,U,"Action, Drama, Romance",Neelakantha Naidu (Prakash Raj) had a daughter Gangotri (Aditi Agarwal) after a long time. But as per her horoscope the infant child has a threat from water. So Neelakantha always takes ...                See full summary »,0,4.6,440
Golimar,2010,A,Action,An 'encounter specialist' police officer becomes famous for killing criminals and finds himself targeted by gangsters and corrupt officers.,160,5.9,435
Narasimhudu,2005,A,"Action, Drama",A villager pretending to be mute comes to the city and avenges his sister's rape by the hands of powerful city gangsters.,0,2.9,434
Swayam Krushi,1987,U,Drama,Story of a cobbler who believes in hard work and righteousness.. This movie is about respecting the importance of manual labor.,164,8.3,434
Mental Madhilo,2017,UA,"Comedy, Drama, Romance","An indecisive guy who has been rejected by several women, finds himself in a spot when he has to choose between two women.",142,7.4,433
Gaayam,1993,A,"Action, Drama","Durga is all set to marry Anitha and settle down, but things change when his brother is killed by the local MLA, who wants to settle the score with the mafia.",140,7.3,432
Gokulamlo Seetha,1997,U,"Drama, Romance","Pawan, a Casanova and spoiled brat, tries to woo Sirisha and later falls for her. He starts mending his ways for his love, as his past traits creates disturbances in his love life.",140,5.6,430
Madha,2020,UA,"Mystery, Thriller","MADHA is a Sanskrit term which means ""insanity personified"". MADHA is a female-centered psychological thriller that revolves around a small-time proofreader Nisha.",113,5.3,426
Hushaaru,2018,A,Comedy,Four friends from middle-class families believe in carving a niche for themselves by not following a trodden path set by others.,140,6.9,426
Settai,2013,U,"Action, Comedy, Crime",Three struggling room-mates unknowingly become potential prey of a ruthless gangster.,136,4.4,425
Swarnakamalam,1988,U,"Drama, Musical, Romance","A painter who recently moved into the neighborhood helps his neighbor, a retired cultural dance artist. He helps by painting billboards advertising events in which the artist and his ...                See full summary »",143,8.0,425
Tadakha,2013,UA,Action,Siva (Sunil) and Karthik (Naga Chaitanya) are brothers. Elder brother Siva is a timid and shy. He fears for everything. Karthik is a dynamic guy who is very protective of his elder brother....                See full summary »,147,5.5,424
Diya,2018,UA,"Drama, Horror, Thriller","After abortion, a woman's life takes an unexpected turn when she is visited by the foetus, who is now grown up and is visible to her.",122,5.7,420
Mudra,2019,UA,"Action, Thriller",An investigative journalist is arrested for cheating banks with fake certificates. He discovers a crime syndicate behind the scam and decides to investigate it himself.,108,7.0,416
Challenge,1984,U,Drama,"The story of a young un-employed youth, who instead of despairing uses his skills to earn tons of money to show to the world that anything is possible if there is will to do it.",152,7.8,415
Kalisundam Raa,2000,U,Drama,Raghavaiah (K. Vishwanath) and Ram Mohan Rao (Ranganath) are brothers-in-law. But Ram Mohan Rao is at loggerheads with Raghavaiah because of a family feud. Raghavaiah is nearing his 60's ...                See full summary »,156,7.3,414
Pandaga Chesko,2015,UA,"Action, Drama, Family","Karthik, a money minded businessman, gets engaged to another money-minded girl Anushka. When his factory gets shut down by an environment activist Divya, he goes back to India only to fall in love with her.",162,5.4,413
Lakshmi,2006,U,"Action, Drama","Lakshmi (Venkatesh) a business tycoon hides a secret about his past in front of his brothers which leads to unexpected consequences. At the same time, villain allies with his brothers and make them turn against Lakshmi.",0,5.8,410
Seetha,2019,UA,Romance,"A four-year-old Ram is left in a monastery by a person named Anand Mohan and is promised that Sita will come to take care of him. Ram is innocent and cute. He makes Ram promise that he too,...                See full summary »",161,4.7,405
Parama Veera Chakra,2011,UA,"Action, Drama",A famous actor is asked to play the role of his lookalike army major and eventually battle his enemies.,160,2.0,402
Samarasimha Reddy,1999,UA,"Action, Drama",Revenge story between Samarasimha Reddy and Veera Raghava Reddy.,148,7.1,402
Andhrawala,2004,U,"Action, Drama",A young man fights the mafia in his town for better life to his people but this leads to chain wars between the mafia and him.,180,3.5,402
Hyper,2016,UA,"Action, Drama",A young man fights a corrupt government official.,144,5.7,400
Kalloori,2007,U,Drama,"A group of nine childhood friends join an arts college together in a small town. Soon, Shobana becomes a part of their group, joining in the fun and games. Muthu eventually falls in love with her.",140,7.3,400
Criminal,1995,A,"Action, Romance, Thriller","After witnessing the sudden death of a woman, who was unable to afford hospital treatment, Dr. Ajay Kumar cancels his immigration to America and instead sets out to build a hospital that ...                See full summary »",123,5.7,399
Gharana Mogudu,1992,U,"Action, Comedy, Drama",An arrogant daughter of a rich industrialist decides to marry their factory employee in order to teach him a lesson. But things changes a lot after their marriage.,149,7.3,398
Karnan,1964,U,"Action, Drama, History",Brave and loyal warrior-archer Karna joins the Kauravas to battle the Pandavas in the Kurukshetra.,187,8.0,389
Annayya,2000,U,"Comedy, Drama, Family",The story of an elder brother who would do anything for his younger brothers.,157,6.6,389
Little Soldiers,1996,U,"Family, Musical, Comedy","Two ill-behaved children are orphaned in an accident and are forced to live with their estranged grandfather, a hard-boiled veteran. Their relationship is strained at first, but over time they warm up to each other.",105,7.9,387
Alludu Seenu,2014,A,"Action, Comedy","In this quest for sanctuary, love, and identity, a man and his uncle arrive in Hyderabad, where they capitalize on the uncle's resemblance to a local don.",151,4.3,386
Yuddham Sharanam,2017,UA,"Action, Thriller","When his family is torn apart, Arjun sets out to on a journey to solve the mystery and seek revenge.",141,6.0,385
Khaidi,1983,A,"Action, Drama","Veerabhadraiah is a feudal lord who presides over a village. Veerabhadraiah lends money to Venkateswarlu, a local farmer living with his widowed daughter. Venkateswarlu's son Suryam is a ...                See full summary »",157,7.4,384
Bavagaru Bagunnara?,1998,U,"Comedy, Drama, Romance","Raju, a restaurant owner in New Zealand falls in love with Swapna. Whilst visiting India, Raju saves Sandhya, a pregnant woman from committing suicide and decides to help her by acting as her husband for her family, until the baby is born.",154,7.1,380
Hello Brother,1994,U,"Action, Comedy, Drama",A quiet and mature man meets with his twin - who is exactly his opposite.,158,7.4,379
Shamantakamani,2017,U,Drama,"'Shamantakamani' is a comedy caper, which revolves around the robbery of a vintage Rolls Royce.",130,6.9,376
Thulasi,2007,UA,Action,The film opens with Thulasi (Venkatesh) bashing up the bad guys led by Rahul Dev at a fashion show held by his now estranged wife Vasundhara (Nayantara). A quick flashback reveals the ...                See full synopsis »,0,5.4,376
Keshava,2017,UA,"Action, Drama, Thriller",A student with a rare heart disease has to seek revenge by controlling his anger.,117,6.3,372
Maja,2005,U,"Action, Comedy, Romance","Govindan (Manivannan) is a thief who has two children. Aadhi (Pasupathy) and Mathi ('Chiyaan' Vikram). Years go by and the two, Aadhi and Madhi, decide to stop stealing and mend their ways ...                See full summary »",139,5.1,372
Choodalani Vundi,1998,U,"Action, Drama, Romance","In Calcutta, a man searches for his son who has been kidnapped by his father-in-law.",148,7.1,369
Ranarangam,2019,UA,"Action, Drama",Deva (Sharwanand) is a powerful gangster from Visakhapatnam who moves to Spain to put his past behind him. But what happens when he realises he can't shake off his enemies no matter where he goes?,138,5.9,368
Mukunda,2014,UA,Family,"Mukunda, a careless youngster, makes it a part of his daily routine to fight for his friend Arjun who often gets into trouble. One day, he gets into a fight with the chief of his village and competes in elections against him.",142,5.7,367
Kirrak Party,2018,UA,Comedy,Krishna a first year student meets Meera a second year student and daughter of a police officer. Everyone in the campus likes Meera and even Krishna's friend. But Meera gets close to ...                See full summary »,165,5.7,361
Chenna Kesava Reddy,2002,UA,"Action, Drama",The rivalry between a son and father who has their own principals of justice and revenge.,143,6.0,360
Sarocharu,2012,U,"Drama, Romance","Sandhyaa Arun(Kajal Aggarwal) is a student who is madly in love with Karthik (Ravi Teja), a techie based in Italy. She decides to travel with him to India, confident that the travel time ...                See full summary »",137,4.7,358
Bodyguard,2012,U,"Action, Comedy",It is adapted from the hindi movie bodyguard.,150,5.1,353
Raju Gari Gadhi 3,2019,UA,"Comedy, Horror, Thriller","An unknown spirit guards Maya against any possible threats from eve-teasers and Don Juans. But what happens when true love flourishes between Maya and Ashwin Babu, and the spirit isn't all too happy about it?",122,6.7,353
Josh,2009,UA,"Action, Family",Satya is a college student. He discontinues his graduation studies in Vizag and comes to Hyderabad in search of a job. He runs into a fight with local college students who are influenced by...                See full summary »,167,6.2,351
Lakshmi Narasimha,2004,U,"Action, Drama",A story about good-gone-bad cop.,171,6.5,349
Autonagar Surya,2014,A,"Action, Crime, Drama","Surya, a juvenile offender, completes his education in prison and upon release embarks on his dream project. However, he has to overcome numerous obstacles to turn his dream into a reality.",157,5.6,345
Style,2006,U,Musical,"The story goes all around the dance. Prabhu Deva/Ganesh is a good dancer. He beats Anthony in one dance competition.But then, Anthony gets Ganesh beaten up, and Ganesh loses his legs in a ...                See full summary »",160,6.0,342
Shivamani,2003,U,"Action, Romance",An ex cop goes in search of his lost girlfriend to Kerala and along way meets a news reporter who helps him to find his lover.,143,6.3,341
Swathi Kiranam,1992,U,"Drama, Musical","The story of a classical singer, who finds it difficult to cope with the rising popularity of a child-prodigy.",130,8.1,337
Kavacham,2018,UA,"Action, Thriller",A police officer from Vizag finds himself in a rut when false allegations are levied against him. He has 24 hours now to prove his innocence.,141,5.5,335
Hrudaya Kaleyam,2014,U,Comedy,A comedy about a petty electronics thief.,114,5.7,334
Mama Manchu Alludu Kanchu,2015,UA,"Action, Comedy","Bhaktavatsalam Naidu (Mohan Babu), who has married two women and has successfully managed to keep the secret of the other woman to both the ladies..Later part reveal why Naidu married two of them and also his wives knowing the truth.",136,6.1,331
Khatarnak,2006,A,"Action, Comedy",Villain makes Ravi Teja a police officer so that he can use him for his own purpose. But when he knows the truth things turn upside down.,152,3.6,331
Ritu,2009,U,"Drama, Family","Sarath, Varsha and Sunny are childhood friends, who get separated due to career requirements. Later, when Sarath tries to unite with other two, he finds that they changed drastically.",137,7.1,330
Jawaan,2017,UA,"Action, Thriller",The planned robbery of a missile pits childhood friends against each other.,134,4.7,329
Maalai Nerathu Mayakkam,2016,A,"Drama, Romance",An incompatible couple get into an arranged marriage.,123,6.4,328
Koduku Diddina Kapuram,1989,U,Drama,"Chakravarthy and Sasirekha gets married. But false allegations on Chakravarthy regarding a murder creates misunderstandings between them. Their sons who are identical twins, decides to reunite their parents.",134,6.6,327
Subedar Joginder Singh,2018,UA,"Action, Biography, Drama",It is a biographical feature film on India's Highest Wartime Gallantry Award - Param Vir Chakra winner Subedar Joginder Singh. He fought three wars (as per records) for India before ...                See full summary »,139,7.1,325
Anasuya,2007,A,"Crime, Mystery, Thriller",A spine-chilling suspense thriller about a cat and mouse game between a budding journalist and motivated serial killer.,139,7.3,323
Jil,2015,A,Action,A firefighter earns the wrath of a don who believes him to be helping his aide gone rogue.,141,5.7,320
Anthahpuram,1998,A,"Action, Drama",Bhanu and her son fall prey to the unknown terror background of her husband's family- faction-ism which ultimately causes his death.,137,7.6,320
Samrat Ashok,1992,U,"Action, Drama, History",The life story of emperor Ashoka.,160,6.2,320
Aapathbandavudu,1992,U,"Drama, Musical","Madhava is a servant to Hema's father. Although they love each other, societal norms keep them apart. A horrific tragedy lands Hema in a mental asylum. Madhava enters the asylum to help and save her.",173,7.6,320
Aaha Kalyanam,2014,UA,"Comedy, Romance",Partners of a wedding-planning firm face problems when they fall in love.,142,6.0,319
Allari Pidugu,2005,U,"Action, Drama, Romance",Chakravarthy is a military officer. He has twins called Ranjith and Giri. Ranjit is very responsible kid with bright attitude. Giri is more of an innocent carefree guy. Chakravathy feels ...                See full summary »,171,2.7,319
Officer,2018,UA,"Action, Crime","An honest officer fights to bring down a corrupt and dangerous cop, and attempts to bring down the entire Mumbai mafia with him.",122,3.4,318
Yaan,2014,U,"Action, Thriller",A young man gets into trouble in a foreign country.,153,3.5,317
Alluri Seetharama Raju,1974,U,"Action, Biography, Drama",Biopic on the life of the famous Telugu freedom fighter Alluri Seetarama Raju..,187,7.5,317
Saakshyam,2018,UA,Action,A group of people commit unspeakable crimes and are confident of getting away with it since there are no witnesses. But nature is witness to their crimes and when all five elements of ...                See full summary »,166,4.9,312
Babu Bangaram,2016,UA,"Action, Comedy",A cop goes undercover to investigate a businesswoman and her father.,150,5.4,311
Pantham,2018,UA,Action,Vikranth is a vigilante who has targeted 'Nayak Bhai' and his money. Who is Vikranth and what is his beef with Nayak forms the crux of the story.,122,6.4,304
Govindha Govindha,1993,U,"Action, Crime, Drama","A Tantric believes that by donating a virgin woman's head to gods crown, would bring down the universe to his feet. How the hero and heroine gets entangled in the underworld nexus, while rescuing the robbery, forms the crux of the plot.",145,6.8,304
Pasivadi Pranam,1987,U,"Action, Drama, Thriller",Madhu (Chiranjeevi) is a painter who becomes a drunkard since his wife is killed immediately after their marriage in an accident. He leads a careless life until a kid (Baby Sujitha) who is ...                See full summary »,140,7.7,303
Chanakya,2019,UA,"Action, Thriller",Arjun aka Ramakrishna is a RAW marshall from Delhi who has a 100% success rate at nabbing terrorists. What happens when he makes enemies out of India's most wanted Ibrahim Qureshi and his son Sohail?,147,5.5,302
Jessie,2019,A,"Horror, Thriller","Set in an abandoned house, the film follows a team of professional ghost hunters trying to conduct a paranormal investigation to unveil the mystery of two sisters, Jessie and Amy, where Amy shows unusual mental and physical behaviour.",106,7.0,300
Ninu Veedani Needanu Nene,2019,U/A,Comedy,Ninu Veedani Needanu Nene is about a young man who gets mired in a dire situation and comes out successfully.,123,5.9,300
E,2006,U,"Action, Drama, Thriller","E along with his friend Tony (Karunas) carries out small crimes to earn money. E brought up in tough conditions, grows up as a tough, fearless and emotionless guy. Meanwhile; ...                See full summary »",150,6.4,299
Ramayanam,1996,U,History,"The story dealt with Lord Rama and his retaliation over Ravana, in which all the characters played in the film were child artists",160,7.1,297
Meeku Matrame Chepta,2019,UA,Comedy,"Rakesh, in an effort to woo his fiance, has promised her that he is a teetotaler. But when a compromising video of his leaks just two days before his wedding, all hell breaks loose.",120,6.2,297
Venkatadri Express,2013,U,"Adventure, Comedy",A simple train journey to Tirupathi goes horribly awry for Sundeep (Sundeep) and Prarthana (Rakul) after they miss boarding the Venkatadri Express.,127,6.9,294
Khaidi No. 786,1988,U,"Action, Drama, Romance","Gopi is an aspiring police constable and also a music master in a village. Radha is daughter of Arrogant Village head Surya Chandra Rao. Radha, in a fracas with Gopi, seeks revenge. But ...                See full summary »",144,6.6,293
Hitler,1997,U,"Action, Drama",A protective and caring brother overcomes plethora of challenges to unite his family after understanding his father's side of story,152,6.4,292
Anjaneyulu,2009,A,"Action, Comedy, Crime",A news reporter joins a gang incognito to expose corrupt politicians as well as find out who killed his parents.,143,4.8,291
Thimiru,2006,U,Action,A young medical student is plagued by local toughs and must fight to see justice done.,155,5.7,290
Tej I Love U,2018,U,Romance,"Tej, a youngster who's highly attached to his family, is banished from his home by his uncle (Peddananna). He then finds himself in London, where he falls in love with Nandini. After long ...                See full summary »",122,5.4,288
Anveshana,1985,A,"Mystery, Thriller",The story of an Ornithologist and a Police investigator coming to a forest and trying to solve the mystery of a series of killings allegedly by a man-eating tiger.,113,7.5,285
Ism,2016,UA,Action,Hackers and gangsters collide in this story about the fight against corruption.,132,5.8,284
Abhinetri,2016,UA,"Comedy, Horror",The Telugu version of the trilingual horror-comedy wherein a husband finds out his wife is possessed. The Hindi version is Tutak Tutak Tutiya (2016) and the Tamil version is Devi(L) (2016),127,6.1,284
Kodama Simham,1990,U,"Action, Adventure, Western",Chiranjeevi has to get back the treasures hidden by his father by fighting the bad guys to release his mother from jail,141,6.7,283
April 1 Vidudala,1991,U,"Comedy, Romance, Thriller",A habitual liar and con-man tries to transform himself into a honest and truthful person to win the heart of his ladylove.,144,7.7,282
Lankeshwarudu,1989,U,"Action, Drama",An orphan grows to become a powerful gangster but faces challenges from within his gang as well as his police officer brother-in-law.,157,6.6,281
Kondaveeti Donga,1990,U,"Action, Adventure, Drama","Unable to tolerate the worries of the villagers, Raja takes aid of a fairy tale hero 'Kondaveeti Donga', transforms himself into one and sets out to save the people from an evil hypnotizer Kadra.",151,6.9,280
O Pitta Katha,2020,U,"Drama, Thriller",Two men fall deeply in love with the same woman but when she suddenly gets kidnapped they get involved in the case to rescue her.,128,6.9,278
Mutamestri,1993,U,"Action, Drama",The story of a vegetable market worker who rises to the state of a minister.,163,7.1,278
Pilla Nuvvu Leni Jeevitham,2014,A,"Action, Drama, Romance",Seenu(Sai Dharam Tej) falls in love with Shailu(Regina) and proposes to her but gets rejected every time.Twist in the tale arises when Seenu comes to know that Shailu is in danger posed by ...                See full summary »,160,6.0,276
Boss,2006,U,Romance,"Abandoned at birth at the Kasturba Annarthalay by her father, Gangulal, due to her gender, Anuradha grows up, and feels rejected when she is by-passed for adoption. When she grows up, she ...                See full summary »",151,4.2,276
Anaganaga Oka Roju,1997,U,"Action, Comedy, Drama",Two runaway lovers are wanted both by the police and a bunch of crooks. Unknown to them they carry a powerful evidence that can expose a dirty political plot. The only person who can help ...                See full summary »,119,7.1,275
Hawaa,2019,UA,Crime,"A Gripping Nightmarish Journey in Broad Daylight which revolves around 9 BRAINS, 9 CRIMES in 9 HOURS..!.",110,7.0,269
Ongole Githa,2013,A,"Action, Comedy",White(Ram) enters the Chilli market yard in Ongole at the age of 12. Adikeshava (Prakash Raj) is the chairman of that Chilli yard. White comes to know of Adikeshava's real character and ...                See full summary »,160,5.1,268
Indrudu Chandrudu,1989,U,"Comedy, Drama",A corrupt mayor decides to live honest life.,158,7.2,268
Sankranthi,2005,U,Drama,"Raghavendra, Vishnu, Chinna, and Vamsi are brothers. Raghavendra and Anjali (Arti Agarwal) fall in love and they are relatives as well. They get engaged with the consent of parents. But ...                See full summary »",160,6.2,266
Maruthu,2016,UA,"Action, Drama",Maruthu is a rustic action entertainer where Vishal plays the role of a labourer. The story revolves around his relationship with his grandmother.,146,5.2,263
Yamudiki Mogudu,1988,U,"Action, Comedy, Fantasy","A man, who wrongfully dies before his time, is reincarnated in the body of a lookalike.",145,7.3,262
Police Police,2010,A,Action,"Srikanth (S.P Ranadheer) appears as the protagonist while Prithviraj Sukumaran (D.S.P) appears as the antagonist. Srikanth is a sincere cop who tries to remove the wrong doers, whereas ...                See full summary »",142,5.6,261
Evvarikee Cheppoddu,2019,U,Drama,"Hari and Harathi are in love, but Harathi's father won't agree to their relationship because of their caste differences.",133,7.3,261
Sudigaadu,2012,UA,"Action, Comedy","Join Shiva, a larger than life hero on a madcap journey to find his kidnapped parents and to capture a notorious criminal.",140,5.7,260
Rama Rama Krishna Krishna,2010,UA,"Action, Comedy, Drama",After his wife's murder he give up Mumbai and goes to a village with his two sisters for their safety.,161,5.4,260
Geethanjali,2014,A,"Comedy, Horror",Filmmakers are haunted by a woman who committed suicide.,135,6.3,259
Padamati Sandhya Ragam,1987,U,Romance,The story of an Indian girl falling in love with an American in 80s USA.,142,7.8,259
Sri Manjunatha,2001,U,"Drama, Family, History",The story of the famous Saint-Poet Manjunatha.,152,6.9,259
Master,1997,U,"Action, Drama","A popular college professor is unable to find true happiness because of his dark past, but the persistence of love and justice ultimately win the day.",126,6.8,257
Mehbooba,2018,UA,"Action, Drama, Romance",Mehbooba movie is a romantic love story in the backdrop of 1971 Indo-Pak war.,152,5.7,253
